UUID,Pinyin,Character,New Filename
sapi5-83bcf035-ade80d2e-3e31bc8f-d9e0370f-0162b96a.mp3,shuǐ,水,shuǐ_水.mp3
sapi5-9cc9d4a6-03d9d73b-9334eb2f-027ccf67-fc807592.mp3,míng,名,míng_名.mp3
sapi5-555e3f94-451ed378-0a9fd104-609a39a8-e41ce88b.mp3,zhēn,真,zhēn_真.mp3
sapi5-6ed1e644-f1fcfbc4-e4af74e8-edeaf460-391521d8.mp3,lùn,论,lùn_论.mp3
sapi5-92b06e69-c026c26e-5dae9879-de663ef2-c720c964.mp3,chù,处,chù_处.mp3
sapi5-2be2b6c3-aa9132de-8445a00b-882b5273-3c54abba.mp3,zǒu,走,zǒu_走.mp3
sapi5-8f562acf-fea25a90-545d7e25-bb3d4ba0-1d5ec811.mp3,yì,义,yì_义.mp3
sapi5-08cb84ba-b4e60584-8b586d0c-297ec1d7-9cfe31cd.mp3,gè,各,gè_各.mp3
sapi5-ef5a7888-21ab7282-603fcc82-40f2a1b5-44e2178f.mp3,rù,入,rù_入.mp3
sapi5-e8b379e2-178b5d12-395c5ab8-f25a6117-71dbca86.mp3,jī,几,jī_几.mp3
sapi5-ffb1cc0c-96eb9552-3348a2c0-f32f0418-c3c49856.mp3,kǒu,口,kǒu_口.mp3
sapi5-defefcef-d8e3bf69-5a771ffc-df67eb83-deae93ec.mp3,rèn,认,rèn_认.mp3
sapi5-8b505880-7d448b12-df06a64e-e7b940c6-d3d21508.mp3,tiáo,条,tiáo_条.mp3
sapi5-b32c0b73-c8530aea-b601181a-d98a003e-552b3f04.mp3,píng,平,píng_平.mp3
sapi5-726ce975-2801cfd6-b4a6453a-be043d27-86818fda.mp3,xì,系,xì_系.mp3
sapi5-f4b9bdcb-aa0cab54-9dfc6cff-40291dd4-e940b894.mp3,qì,气,qì_气.mp3
sapi5-664eeeef-496264ad-032feacc-45ecaf91-649998c0.mp3,tí,题,tí_题.mp3
sapi5-9e6d9559-89572a5a-be190ace-4630efc5-ae5d0a34.mp3,huó,活,huó_活.mp3
sapi5-ad7abfc4-7f47ba4e-df613120-9679b6f2-d4441dca.mp3,ěr,尔,ěr_尔.mp3
sapi5-95aa5e24-dacb9914-87a62de9-6d36ea95-78160ec5.mp3,gèng,更,gèng_更.mp3
sapi5-d5e40e47-2988c7f6-3324c086-d969fd8c-79479ce0.mp3,bié,别,bié_别.mp3
sapi5-196147ab-e30a6978-5d71f0d5-c48e2569-9a113178.mp3,dǎ,打,dǎ_打.mp3
sapi5-22459818-94ae0249-43913bd8-f7a1926d-3d81bc53.mp3,nǚ,女,nǚ_女.mp3
sapi5-e761108e-e5540ff2-0a75094a-8dd4082e-028cacde.mp3,biàn,变,biàn_变.mp3
sapi5-2ca31db5-faa49f4f-90d261e6-a2929df0-c5857163.mp3,sì,四,sì_四.mp3
sapi5-1a05168e-4201bc4d-fbbe6d55-98617f00-034f2b6e.mp3,shén,神,shén_神.mp3
sapi5-20bb23b8-49174966-9dab1a43-f923306e-fa11cc63.mp3,zǒng,总,zǒng_总.mp3
sapi5-cd42a51f-fdc8ca24-77255f04-6748c078-b1c57451.mp3,hé,何,hé_何.mp3
sapi5-7e6032c1-2d491b39-96d6a050-9953b395-8cd81da0.mp3,diàn,电,diàn_电.mp3
sapi5-b8402ddc-90f76e3d-735eed2b-a14c7be1-141ed2c5.mp3,shù,数,shù_数.mp3
sapi5-7276c50e-2d644321-d1cb91a0-5b75b042-bbab3ead.mp3,ān,安,ān_安.mp3
sapi5-eb116bcb-52de4b28-aace0c1e-267436e6-21749851.mp3,shǎo,少,shǎo_少.mp3
sapi5-05f11a6e-57eef160-47290aeb-b350e231-62158921.mp3,bào,报,bào_报.mp3
sapi5-061b3c3a-c1fa6fb4-eeabe9a1-abbb8ad8-1f3045ae.mp3,cái,才,cái_才.mp3
sapi5-c80638e8-6a0d1a6e-1e6c31b2-15ed6970-fbfa78bf.mp3,jié,结,jié_结.mp3
sapi5-8f8e0b60-020c4b7d-117e7e8a-eed6a6d3-480ede00.mp3,fǎn,反,fǎn_反.mp3
sapi5-27ba2468-44b351dd-3adefcb6-8acb9963-1eb08ccc.mp3,shòu,受,shòu_受.mp3
sapi5-b7754488-ffd65fd7-836b90ce-f1e5bff3-4006eb25.mp3,mù,目,mù_目.mp3
sapi5-15954c52-2a0a3a56-19236079-d1443665-532425ab.mp3,tài,太,tài_太.mp3
sapi5-a68dcc96-0e4a4e3c-0a06e0bc-ac831746-2f97998a.mp3,liàng,量,liàng_量.mp3
sapi5-5a7fd030-2ff3be29-9bd77ab6-4c811847-74bc2c10.mp3,zài,再,zài_再.mp3
sapi5-0341c454-ea50d6b5-3cd4f8e5-8625cd95-3cd7baf0.mp3,gǎn,感,gǎn_感.mp3
sapi5-671ab6c6-cffba91d-493beb19-50dfe8f8-49ee1eed.mp3,jiàn,建,jiàn_建.mp3
sapi5-2fb1199d-87ebb1df-69050f85-8f4e4274-b560ac41.mp3,wù,务,wù_务.mp3
